Algoritmo;Radix_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.03063s
Tiempo promedio;0.00103063s
Tiempos individuales (s):
Ejecución 642;0.0009953
Ejecución 643;0.0009919
Ejecución 644;0.0010003
Ejecución 645;0.0009991
Ejecución 646;0.001
Ejecución 647;0.0005343
Ejecución 648;0.0012611
Ejecución 649;0.0009998
Ejecución 650;0.0011317
Ejecución 651;0.0006152
Ejecución 652;0.0009978
Ejecución 653;0.0010001
Ejecución 654;0.0010007
Ejecución 655;0.0009181
Ejecución 656;0.0010898
Ejecución 657;0.0010028
Ejecución 658;0.0006829
Ejecución 659;0.0010025
Ejecución 660;0.001007
Ejecución 661;0.0010103
Ejecución 662;0.0010007
Ejecución 663;0.0004766
Ejecución 664;0.000999
Ejecución 665;0.0010095
Ejecución 666;0.0009913
Ejecución 667;0.0010017
Ejecución 668;0.000335
Ejecución 669;0.0012993
Ejecución 670;0.0009993
Ejecución 671;0.0009996
Ejecución 672;0.0013284
Ejecución 673;0.0009998
Ejecución 674;0.0009993
Ejecución 675;0.001003
Ejecución 676;0.0010071
Ejecución 677;0.0013917
Ejecución 678;0.0009996
Ejecución 679;0.0013102
Ejecución 680;0.0013395
Ejecución 681;0.0009993
Ejecución 682;0.0009998
Ejecución 683;0.0010384
Ejecución 684;0.0009996
Ejecución 685;0.0004793
Ejecución 686;0.0009542
Ejecución 687;0.0009991
Ejecución 688;0.0009999
Ejecución 689;0.0005097
Ejecución 690;0.0010063
Ejecución 691;0.001001
Ejecución 692;0.0009997
Ejecución 693;0.0006819
Ejecución 694;0.0009966
Ejecución 695;0.001005
Ejecución 696;0.0037088
Ejecución 697;0.0010068
Ejecución 698;0.0007803
Ejecución 699;0.0009972
Ejecución 700;0.0010001
Ejecución 701;0.0009995
Ejecución 702;0.001
Ejecución 703;0.0009268
Ejecución 704;0.0009834
Ejecución 705;0.0010001
Ejecución 706;0.0003443
Ejecución 707;0.000999
Ejecución 708;0.0010156
Ejecución 709;0.000998
Ejecución 710;0.0009999
