Algoritmo;Radix_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.02335s
Tiempo promedio;0.00102335s
Tiempos individuales (s):
Ejecución 952;0.0009788
Ejecución 953;0.000442
Ejecución 954;0.001007
Ejecución 955;0.0009972
Ejecución 956;0.0009991
Ejecución 957;0.0014077
Ejecución 958;0.0010108
Ejecución 959;0.001
Ejecución 960;0.0010022
Ejecución 961;0.0012755
Ejecución 962;0.0009992
Ejecución 963;0.001
Ejecución 964;0.0009998
Ejecución 965;0.0013249
Ejecución 966;0.001001
Ejecución 967;0.0010361
Ejecución 968;0.0003755
Ejecución 969;0.0048879
Ejecución 970;0.0010003
Ejecución 971;0.0009813
Ejecución 972;0.0010015
Ejecución 973;0.0009996
Ejecución 974;0.0008997
Ejecución 975;0.0010856
Ejecución 976;0.0009999
Ejecución 977;0.0009966
Ejecución 978;0.0009934
Ejecución 979;0.0012908
Ejecución 980;0.0035984
Ejecución 981;0.0009996
Ejecución 982;0.0010723
Ejecución 983;0.0010136
Ejecución 984;0.0009997
