Algoritmo;Radix_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.03795s
Tiempo promedio;0.00103795s
Tiempos individuales (s):
Ejecución 376;0.0010862
Ejecución 377;0.0008784
Ejecución 378;0.0070425
Ejecución 379;0.0010072
Ejecución 380;0.0010029
Ejecución 381;0.0006107
Ejecución 382;0.0012624
Ejecución 383;0.0010047
Ejecución 384;0.0004431
Ejecución 385;0.0009996
Ejecución 386;0.0003626
Ejecución 387;0.0004562
Ejecución 388;0.0009999
Ejecución 389;0.0013874
Ejecución 390;0.0004559
Ejecución 391;0.0010103
Ejecución 392;0.0009987
Ejecución 393;0.0009931
Ejecución 394;0.0009924
Ejecución 395;0.0004817
Ejecución 396;0.0009986
Ejecución 397;0.0013826
Ejecución 398;0.0009989
Ejecución 399;0.0012315
Ejecución 400;0.0009987
Ejecución 401;0.0009983
Ejecución 402;0.001
Ejecución 403;0.0004232
Ejecución 404;0.0010002
Ejecución 405;0.0008731
Ejecución 406;0.0011205
Ejecución 407;0.0012359
Ejecución 408;0.0008231
Ejecución 409;0.0009205
Ejecución 410;0.0010056
Ejecución 411;0.0010016
Ejecución 412;0.0012163
Ejecución 413;0.0009987
Ejecución 414;0.0009987
Ejecución 415;0.0012557
Ejecución 416;0.0003177
Ejecución 417;0.000437
Ejecución 418;0.0005104
Ejecución 419;0.0010055
Ejecución 420;0.0003021
Ejecución 421;0.0010063
Ejecución 422;0.0009714
Ejecución 423;0.0009999
Ejecución 424;0.0010067
Ejecución 425;0.001006
Ejecución 426;0.0010015
Ejecución 427;0.0004364
Ejecución 428;0.0011176
Ejecución 429;0.0009996
Ejecución 430;0.0010018
Ejecución 431;0.0004048
Ejecución 432;0.0010067
Ejecución 433;0.0009998
Ejecución 434;0.0004214
Ejecución 435;0.0010097
Ejecución 436;0.0009999
Ejecución 437;0.0010423
Ejecución 438;0.0003777
Ejecución 439;0.0010385
Ejecución 440;0.0010004
