Algoritmo;Insertion_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;16.9540453s
Tiempo promedio;0.0169540s
Tiempos individuales (s):
Ejecución 561;0.0161259
Ejecución 562;0.0161400
Ejecución 563;0.0160714
Ejecución 564;0.0160304
Ejecución 565;0.0159865
Ejecución 566;0.0159924
Ejecución 567;0.0159444
Ejecución 568;0.0159526
Ejecución 569;0.0160243
Ejecución 570;0.0160068
Ejecución 571;0.0160110
Ejecución 572;0.0159175
Ejecución 573;0.0162745
Ejecución 574;0.0156036
Ejecución 575;0.0158628
Ejecución 576;0.0168123
Ejecución 577;0.0169100
Ejecución 578;0.0172368
Ejecución 579;0.0173338
Ejecución 580;0.0172926
Ejecución 581;0.0174875
Ejecución 582;0.0174804
Ejecución 583;0.0175291
Ejecución 584;0.0175031
Ejecución 585;0.0175932
Ejecución 586;0.0176145
Ejecución 587;0.0176560
Ejecución 588;0.0177182
Ejecución 589;0.0176712
Ejecución 590;0.0176975
Ejecución 591;0.0177464
Ejecución 592;0.0178757
Ejecución 593;0.0176650
Ejecución 594;0.0178051
Ejecución 595;0.0179581
Ejecución 596;0.0177727
Ejecución 597;0.0178026
Ejecución 598;0.0178408
Ejecución 599;0.0177452
Ejecución 600;0.0178229
Ejecución 601;0.0179792
Ejecución 602;0.0185738
Ejecución 603;0.0182490
Ejecución 604;0.0181883
Ejecución 605;0.0179541
Ejecución 606;0.0181151
Ejecución 607;0.0181686
Ejecución 608;0.0181654
Ejecución 609;0.0180619
Ejecución 610;0.0180967
Ejecución 611;0.0179712
Ejecución 612;0.0180246
Ejecución 613;0.0179066
Ejecución 614;0.0179001
Ejecución 615;0.0179217
Ejecución 616;0.0178033
Ejecución 617;0.0178405
Ejecución 618;0.0178789
Ejecución 619;0.0178448
Ejecución 620;0.0179093
Ejecución 621;0.0179697
Ejecución 622;0.0180588
Ejecución 623;0.0180482
Ejecución 624;0.0178830
Ejecución 625;0.0178839
Ejecución 626;0.0178895
Ejecución 627;0.0179520
Ejecución 628;0.0177270
Ejecución 629;0.0180060
Ejecución 630;0.0178408
Ejecución 631;0.0178723
Ejecución 632;0.0177964
Ejecución 633;0.0178438
Ejecución 634;0.0179332
Ejecución 635;0.0178639
Ejecución 636;0.0176732
Ejecución 637;0.0178759
Ejecución 638;0.0177609
Ejecución 639;0.0178200
Ejecución 640;0.0178679
Ejecución 641;0.0178229
Ejecución 642;0.0179437
Ejecución 643;0.0177887
Ejecución 644;0.0178599
Ejecución 645;0.0178707
Ejecución 646;0.0177771
Ejecución 647;0.0177874
Ejecución 648;0.0178305
Ejecución 649;0.0178198
Ejecución 650;0.0180398
Ejecución 651;0.0179585
Ejecución 652;0.0179397
Ejecución 653;0.0176862
Ejecución 654;0.0177907
Ejecución 655;0.0177614
Ejecución 656;0.0178948
Ejecución 657;0.0178411
Ejecución 658;0.0178346
Ejecución 659;0.0178818
Ejecución 660;0.0178912
Ejecución 661;0.0178579
Ejecución 662;0.0224435
Ejecución 663;0.0155977
Ejecución 664;0.0156128
Ejecución 665;0.0155810
Ejecución 666;0.0162006
Ejecución 667;0.0156721
Ejecución 668;0.0154884
Ejecución 669;0.0156188
Ejecución 670;0.0163115
Ejecución 671;0.0168055
Ejecución 672;0.0154658
Ejecución 673;0.0157020
Ejecución 674;0.0156851
Ejecución 675;0.0157378
Ejecución 676;0.0157611
Ejecución 677;0.0158617
Ejecución 678;0.0157417
Ejecución 679;0.0157408
Ejecución 680;0.0158607
Ejecución 681;0.0157325
Ejecución 682;0.0158996
Ejecución 683;0.0157463
Ejecución 684;0.0157984
Ejecución 685;0.0158380
Ejecución 686;0.0160444
Ejecución 687;0.0157539
Ejecución 688;0.0158489
Ejecución 689;0.0158937
Ejecución 690;0.0157498
Ejecución 691;0.0158316
Ejecución 692;0.0158784
Ejecución 693;0.0158438
Ejecución 694;0.0158141
Ejecución 695;0.0158469
Ejecución 696;0.0160210
Ejecución 697;0.0158223
Ejecución 698;0.0158832
Ejecución 699;0.0158990
Ejecución 700;0.0158480
Ejecución 701;0.0159162
Ejecución 702;0.0157830
Ejecución 703;0.0158983
Ejecución 704;0.0158427
Ejecución 705;0.0159189
Ejecución 706;0.0159187
Ejecución 707;0.0158181
Ejecución 708;0.0158253
Ejecución 709;0.0158006
Ejecución 710;0.0159118
Ejecución 711;0.0159469
Ejecución 712;0.0159118
Ejecución 713;0.0158808
Ejecución 714;0.0158428
Ejecución 715;0.0160700
Ejecución 716;0.0158905
Ejecución 717;0.0159663
Ejecución 718;0.0159629
Ejecución 719;0.0159064
Ejecución 720;0.0158963
Ejecución 721;0.0158387
Ejecución 722;0.0160606
Ejecución 723;0.0159756
Ejecución 724;0.0158913
Ejecución 725;0.0158869
Ejecución 726;0.0159770
Ejecución 727;0.0158367
Ejecución 728;0.0160419
Ejecución 729;0.0159449
Ejecución 730;0.0158812
Ejecución 731;0.0158678
Ejecución 732;0.0159156
Ejecución 733;0.0159074
Ejecución 734;0.0165466
Ejecución 735;0.0166426
Ejecución 736;0.0157057
Ejecución 737;0.0158446
Ejecución 738;0.0158208
Ejecución 739;0.0158813
Ejecución 740;0.0160310
Ejecución 741;0.0158185
Ejecución 742;0.0158344
Ejecución 743;0.0161133
Ejecución 744;0.0158250
Ejecución 745;0.0158609
Ejecución 746;0.0158860
Ejecución 747;0.0158565
Ejecución 748;0.0162550
Ejecución 749;0.0158963
Ejecución 750;0.0158989
Ejecución 751;0.0158586
Ejecución 752;0.0161025
Ejecución 753;0.0159277
Ejecución 754;0.0160591
Ejecución 755;0.0159038
Ejecución 756;0.0158492
Ejecución 757;0.0158678
Ejecución 758;0.0160022
Ejecución 759;0.0158980
Ejecución 760;0.0160912
Ejecución 761;0.0158424
Ejecución 762;0.0158753
Ejecución 763;0.0159197
Ejecución 764;0.0158459
Ejecución 765;0.0158991
Ejecución 766;0.0159270
Ejecución 767;0.0159361
Ejecución 768;0.0159082
Ejecución 769;0.0158895
Ejecución 770;0.0159453
Ejecución 771;0.0158979
Ejecución 772;0.0159910
Ejecución 773;0.0161278
Ejecución 774;0.0163007
Ejecución 775;0.0159141
Ejecución 776;0.0158533
Ejecución 777;0.0159035
Ejecución 778;0.0158928
Ejecución 779;0.0159399
Ejecución 780;0.0159364
Ejecución 781;0.0159941
Ejecución 782;0.0160064
Ejecución 783;0.0159660
Ejecución 784;0.0159273
Ejecución 785;0.0160108
Ejecución 786;0.0160073
Ejecución 787;0.0159560
Ejecución 788;0.0160443
Ejecución 789;0.0160122
Ejecución 790;0.0159354
Ejecución 791;0.0159326
Ejecución 792;0.0169477
Ejecución 793;0.0158958
Ejecución 794;0.0159593
Ejecución 795;0.0159377
Ejecución 796;0.0159136
Ejecución 797;0.0161632
Ejecución 798;0.0162595
Ejecución 799;0.0160254
Ejecución 800;0.0159366
Ejecución 801;0.0158716
Ejecución 802;0.0160408
Ejecución 803;0.0159168
Ejecución 804;0.0158416
Ejecución 805;0.0159544
Ejecución 806;0.0159116
Ejecución 807;0.0159069
Ejecución 808;0.0159058
Ejecución 809;0.0158981
Ejecución 810;0.0160898
Ejecución 811;0.0158353
Ejecución 812;0.0158814
Ejecución 813;0.0162026
Ejecución 814;0.0158134
Ejecución 815;0.0160479
Ejecución 816;0.0191598
Ejecución 817;0.0156062
Ejecución 818;0.0162919
Ejecución 819;0.0170671
Ejecución 820;0.0170413
Ejecución 821;0.0172026
Ejecución 822;0.0173219
Ejecución 823;0.0172990
Ejecución 824;0.0173567
Ejecución 825;0.0173547
Ejecución 826;0.0174160
Ejecución 827;0.0173625
Ejecución 828;0.0174340
Ejecución 829;0.0173682
Ejecución 830;0.0174377
Ejecución 831;0.0174719
Ejecución 832;0.0174738
Ejecución 833;0.0174927
Ejecución 834;0.0174525
Ejecución 835;0.0175424
Ejecución 836;0.0174816
Ejecución 837;0.0174261
Ejecución 838;0.0174502
Ejecución 839;0.0175256
Ejecución 840;0.0176015
Ejecución 841;0.0175205
Ejecución 842;0.0175848
Ejecución 843;0.0177021
Ejecución 844;0.0176873
Ejecución 845;0.0178719
Ejecución 846;0.0175565
Ejecución 847;0.0178418
Ejecución 848;0.0176694
Ejecución 849;0.0175551
Ejecución 850;0.0176551
Ejecución 851;0.0176554
Ejecución 852;0.0176143
Ejecución 853;0.0175622
Ejecución 854;0.0176561
Ejecución 855;0.0174724
Ejecución 856;0.0178376
Ejecución 857;0.0176178
Ejecución 858;0.0177040
Ejecución 859;0.0176955
Ejecución 860;0.0177074
Ejecución 861;0.0175629
Ejecución 862;0.0175807
Ejecución 863;0.0175691
Ejecución 864;0.0176186
Ejecución 865;0.0175620
Ejecución 866;0.0176785
Ejecución 867;0.0176205
Ejecución 868;0.0175816
Ejecución 869;0.0174825
Ejecución 870;0.0176487
Ejecución 871;0.0177530
Ejecución 872;0.0175680
Ejecución 873;0.0175550
Ejecución 874;0.0177243
Ejecución 875;0.0176492
Ejecución 876;0.0175336
Ejecución 877;0.0175603
Ejecución 878;0.0177638
Ejecución 879;0.0176069
Ejecución 880;0.0175443
Ejecución 881;0.0176033
Ejecución 882;0.0175368
Ejecución 883;0.0177170
Ejecución 884;0.0174952
Ejecución 885;0.0175271
Ejecución 886;0.0175768
Ejecución 887;0.0176808
Ejecución 888;0.0175449
Ejecución 889;0.0176287
Ejecución 890;0.0175711
Ejecución 891;0.0176051
Ejecución 892;0.0176684
