Algoritmo;Merge_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;0.8371812s
Tiempo promedio;0.0008372s
Tiempos individuales (s):
Ejecución 490;0.0008551
Ejecución 491;0.0008535
Ejecución 492;0.0008429
Ejecución 493;0.0008411
Ejecución 494;0.0008427
Ejecución 495;0.0008442
Ejecución 496;0.0008345
Ejecución 497;0.0008398
Ejecución 498;0.0008495
Ejecución 499;0.0008474
Ejecución 500;0.0008472
Ejecución 501;0.0008353
Ejecución 502;0.0008332
Ejecución 503;0.0008817
Ejecución 504;0.0008287
Ejecución 505;0.0008282
Ejecución 506;0.0008257
Ejecución 507;0.0008341
Ejecución 508;0.0008322
Ejecución 509;0.0008397
Ejecución 510;0.0008287
Ejecución 511;0.0008515
Ejecución 512;0.0008229
Ejecución 513;0.0008370
Ejecución 514;0.0008309
Ejecución 515;0.0008317
Ejecución 516;0.0008273
Ejecución 517;0.0008842
Ejecución 518;0.0008834
Ejecución 519;0.0008701
Ejecución 520;0.0008755
Ejecución 521;0.0008708
Ejecución 522;0.0008734
Ejecución 523;0.0008546
Ejecución 524;0.0008264
Ejecución 525;0.0008268
Ejecución 526;0.0008192
Ejecución 527;0.0008143
Ejecución 528;0.0008262
Ejecución 529;0.0008340
Ejecución 530;0.0008397
Ejecución 531;0.0008470
Ejecución 532;0.0008396
Ejecución 533;0.0008576
Ejecución 534;0.0008488
Ejecución 535;0.0008510
Ejecución 536;0.0008368
Ejecución 537;0.0008476
Ejecución 538;0.0008389
Ejecución 539;0.0009149
Ejecución 540;0.0008448
Ejecución 541;0.0008472
Ejecución 542;0.0008412
Ejecución 543;0.0008464
Ejecución 544;0.0008578
Ejecución 545;0.0008597
Ejecución 546;0.0009171
Ejecución 547;0.0008527
Ejecución 548;0.0008613
Ejecución 549;0.0008569
Ejecución 550;0.0008528
Ejecución 551;0.0008585
Ejecución 552;0.0008677
Ejecución 553;0.0008724
Ejecución 554;0.0008624
Ejecución 555;0.0008752
Ejecución 556;0.0008492
Ejecución 557;0.0008591
Ejecución 558;0.0008592
Ejecución 559;0.0008590
Ejecución 560;0.0008621
Ejecución 561;0.0008646
Ejecución 562;0.0008558
Ejecución 563;0.0008616
Ejecución 564;0.0008529
Ejecución 565;0.0008622
Ejecución 566;0.0008650
Ejecución 567;0.0008557
Ejecución 568;0.0008611
Ejecución 569;0.0008538
Ejecución 570;0.0008728
Ejecución 571;0.0008673
Ejecución 572;0.0008651
Ejecución 573;0.0008694
Ejecución 574;0.0009463
Ejecución 575;0.0008703
Ejecución 576;0.0008637
Ejecución 577;0.0008964
Ejecución 578;0.0008804
Ejecución 579;0.0008802
Ejecución 580;0.0008917
Ejecución 581;0.0008603
Ejecución 582;0.0008746
Ejecución 583;0.0008915
Ejecución 584;0.0008698
Ejecución 585;0.0008682
Ejecución 586;0.0008738
Ejecución 587;0.0008626
Ejecución 588;0.0008673
Ejecución 589;0.0008712
Ejecución 590;0.0008681
Ejecución 591;0.0008722
Ejecución 592;0.0008673
Ejecución 593;0.0008672
Ejecución 594;0.0008631
Ejecución 595;0.0008693
Ejecución 596;0.0008698
Ejecución 597;0.0008661
Ejecución 598;0.0008661
Ejecución 599;0.0008559
Ejecución 600;0.0008781
Ejecución 601;0.0008754
Ejecución 602;0.0010212
Ejecución 603;0.0015368
Ejecución 604;0.0014830
Ejecución 605;0.0014573
Ejecución 606;0.0010912
Ejecución 607;0.0008673
Ejecución 608;0.0008732
Ejecución 609;0.0008698
Ejecución 610;0.0008728
Ejecución 611;0.0008645
Ejecución 612;0.0008807
Ejecución 613;0.0008653
Ejecución 614;0.0008952
Ejecución 615;0.0008701
Ejecución 616;0.0008657
Ejecución 617;0.0008697
Ejecución 618;0.0008677
Ejecución 619;0.0008731
Ejecución 620;0.0008631
Ejecución 621;0.0008690
Ejecución 622;0.0008663
Ejecución 623;0.0008709
Ejecución 624;0.0008629
Ejecución 625;0.0008723
Ejecución 626;0.0008675
Ejecución 627;0.0008631
Ejecución 628;0.0008625
Ejecución 629;0.0008682
Ejecución 630;0.0008841
Ejecución 631;0.0008679
Ejecución 632;0.0008807
Ejecución 633;0.0008723
Ejecución 634;0.0008745
Ejecución 635;0.0008206
Ejecución 636;0.0008232
Ejecución 637;0.0008109
Ejecución 638;0.0008195
Ejecución 639;0.0008170
Ejecución 640;0.0008403
Ejecución 641;0.0008152
Ejecución 642;0.0008198
Ejecución 643;0.0008620
Ejecución 644;0.0008110
Ejecución 645;0.0008206
Ejecución 646;0.0008192
Ejecución 647;0.0008053
Ejecución 648;0.0007802
Ejecución 649;0.0007829
Ejecución 650;0.0007742
Ejecución 651;0.0007789
Ejecución 652;0.0007902
Ejecución 653;0.0007963
Ejecución 654;0.0008115
Ejecución 655;0.0007810
Ejecución 656;0.0007754
Ejecución 657;0.0007720
Ejecución 658;0.0008532
Ejecución 659;0.0007726
Ejecución 660;0.0007889
Ejecución 661;0.0007743
Ejecución 662;0.0007754
Ejecución 663;0.0008029
Ejecución 664;0.0007904
Ejecución 665;0.0007811
Ejecución 666;0.0007824
Ejecución 667;0.0007867
Ejecución 668;0.0008031
Ejecución 669;0.0007768
Ejecución 670;0.0007836
Ejecución 671;0.0007857
Ejecución 672;0.0007896
Ejecución 673;0.0008054
Ejecución 674;0.0008048
Ejecución 675;0.0007915
Ejecución 676;0.0007707
Ejecución 677;0.0007824
Ejecución 678;0.0007706
Ejecución 679;0.0007759
Ejecución 680;0.0007746
Ejecución 681;0.0007766
Ejecución 682;0.0007746
Ejecución 683;0.0007857
Ejecución 684;0.0007906
Ejecución 685;0.0007998
Ejecución 686;0.0007930
Ejecución 687;0.0007968
Ejecución 688;0.0008281
Ejecución 689;0.0008404
Ejecución 690;0.0008067
Ejecución 691;0.0008142
Ejecución 692;0.0008150
Ejecución 693;0.0008167
Ejecución 694;0.0008107
Ejecución 695;0.0008036
Ejecución 696;0.0007882
Ejecución 697;0.0007994
Ejecución 698;0.0007988
Ejecución 699;0.0008028
Ejecución 700;0.0007992
Ejecución 701;0.0007887
Ejecución 702;0.0008080
Ejecución 703;0.0010839
Ejecución 704;0.0009864
Ejecución 705;0.0009498
Ejecución 706;0.0007632
Ejecución 707;0.0007697
Ejecución 708;0.0007634
Ejecución 709;0.0007636
Ejecución 710;0.0007617
Ejecución 711;0.0008104
Ejecución 712;0.0007626
Ejecución 713;0.0007803
Ejecución 714;0.0007606
Ejecución 715;0.0007640
Ejecución 716;0.0007630
Ejecución 717;0.0007693
Ejecución 718;0.0007885
Ejecución 719;0.0008014
Ejecución 720;0.0007598
Ejecución 721;0.0007875
Ejecución 722;0.0007611
Ejecución 723;0.0007580
Ejecución 724;0.0007611
Ejecución 725;0.0007669
Ejecución 726;0.0007634
Ejecución 727;0.0007691
Ejecución 728;0.0007578
Ejecución 729;0.0007856
Ejecución 730;0.0007738
Ejecución 731;0.0007816
Ejecución 732;0.0007734
Ejecución 733;0.0007970
Ejecución 734;0.0007913
Ejecución 735;0.0007646
Ejecución 736;0.0007604
Ejecución 737;0.0007659
Ejecución 738;0.0007631
Ejecución 739;0.0007671
Ejecución 740;0.0007646
Ejecución 741;0.0007653
Ejecución 742;0.0007625
Ejecución 743;0.0007669
