Algoritmo;Insertion_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Lucas
Tiempo total;20.0606536s
Tiempo promedio;0.0200607s
Tiempos individuales (s):
Ejecución 688;0.0190598
Ejecución 689;0.0191017
Ejecución 690;0.0191305
Ejecución 691;0.0191899
Ejecución 692;0.0190498
Ejecución 693;0.0193279
Ejecución 694;0.0193088
Ejecución 695;0.0190556
Ejecución 696;0.0191350
Ejecución 697;0.0191659
Ejecución 698;0.0191453
Ejecución 699;0.0190291
Ejecución 700;0.0191224
Ejecución 701;0.0192086
Ejecución 702;0.0191739
Ejecución 703;0.0193289
Ejecución 704;0.0191443
Ejecución 705;0.0192451
Ejecución 706;0.0193079
Ejecución 707;0.0190212
Ejecución 708;0.0191521
Ejecución 709;0.0191836
Ejecución 710;0.0191004
Ejecución 711;0.0194526
Ejecución 712;0.0191908
Ejecución 713;0.0191492
Ejecución 714;0.0191886
Ejecución 715;0.0192514
Ejecución 716;0.0191736
Ejecución 717;0.0192120
Ejecución 718;0.0191245
Ejecución 719;0.0192963
Ejecución 720;0.0191954
Ejecución 721;0.0191551
Ejecución 722;0.0193588
Ejecución 723;0.0192250
Ejecución 724;0.0193138
Ejecución 725;0.0191655
Ejecución 726;0.0202956
Ejecución 727;0.0196549
Ejecución 728;0.0197080
Ejecución 729;0.0191135
Ejecución 730;0.0191619
Ejecución 731;0.0192225
Ejecución 732;0.0191158
Ejecución 733;0.0192474
Ejecución 734;0.0193915
Ejecución 735;0.0191333
Ejecución 736;0.0191246
Ejecución 737;0.0191869
Ejecución 738;0.0191466
Ejecución 739;0.0192724
Ejecución 740;0.0191791
Ejecución 741;0.0191990
Ejecución 742;0.0194616
Ejecución 743;0.0191295
Ejecución 744;0.0192611
Ejecución 745;0.0192398
Ejecución 746;0.0192357
Ejecución 747;0.0191247
Ejecución 748;0.0192054
Ejecución 749;0.0192949
Ejecución 750;0.0191124
Ejecución 751;0.0192210
Ejecución 752;0.0191457
Ejecución 753;0.0191640
Ejecución 754;0.0192433
Ejecución 755;0.0192437
Ejecución 756;0.0191175
Ejecución 757;0.0192515
Ejecución 758;0.0191708
Ejecución 759;0.0192372
Ejecución 760;0.0192545
Ejecución 761;0.0191968
Ejecución 762;0.0192018
Ejecución 763;0.0191412
Ejecución 764;0.0191722
Ejecución 765;0.0192085
Ejecución 766;0.0191579
Ejecución 767;0.0191880
Ejecución 768;0.0191777
Ejecución 769;0.0191579
Ejecución 770;0.0193155
Ejecución 771;0.0191721
Ejecución 772;0.0192663
Ejecución 773;0.0192119
Ejecución 774;0.0191689
Ejecución 775;0.0193472
Ejecución 776;0.0193267
Ejecución 777;0.0191826
Ejecución 778;0.0192109
Ejecución 779;0.0191307
Ejecución 780;0.0201117
Ejecución 781;0.0194080
Ejecución 782;0.0190866
Ejecución 783;0.0192225
Ejecución 784;0.0191290
Ejecución 785;0.0192853
Ejecución 786;0.0193020
Ejecución 787;0.0190519
Ejecución 788;0.0191613
Ejecución 789;0.0191550
Ejecución 790;0.0192176
Ejecución 791;0.0191679
Ejecución 792;0.0193186
Ejecución 793;0.0191639
Ejecución 794;0.0191501
Ejecución 795;0.0193096
Ejecución 796;0.0191156
Ejecución 797;0.0191873
Ejecución 798;0.0191428
Ejecución 799;0.0191608
Ejecución 800;0.0190988
Ejecución 801;0.0191512
Ejecución 802;0.0192366
Ejecución 803;0.0191899
Ejecución 804;0.0193481
Ejecución 805;0.0193509
Ejecución 806;0.0191612
Ejecución 807;0.0191661
Ejecución 808;0.0193101
Ejecución 809;0.0192315
Ejecución 810;0.0191838
Ejecución 811;0.0192050
Ejecución 812;0.0195080
Ejecución 813;0.0191338
Ejecución 814;0.0191543
Ejecución 815;0.0191755
Ejecución 816;0.0191919
Ejecución 817;0.0192307
Ejecución 818;0.0191311
Ejecución 819;0.0192191
Ejecución 820;0.0191606
Ejecución 821;0.0192238
Ejecución 822;0.0191762
Ejecución 823;0.0191806
Ejecución 824;0.0192171
Ejecución 825;0.0193427
Ejecución 826;0.0190786
Ejecución 827;0.0192645
Ejecución 828;0.0191800
Ejecución 829;0.0191476
Ejecución 830;0.0192262
Ejecución 831;0.0212746
Ejecución 832;0.0193142
Ejecución 833;0.0197244
Ejecución 834;0.0190803
Ejecución 835;0.0192504
Ejecución 836;0.0191688
Ejecución 837;0.0192219
Ejecución 838;0.0192689
Ejecución 839;0.0191445
Ejecución 840;0.0192582
Ejecución 841;0.0192349
Ejecución 842;0.0192336
Ejecución 843;0.0192087
Ejecución 844;0.0192937
Ejecución 845;0.0192186
Ejecución 846;0.0192155
Ejecución 847;0.0196187
Ejecución 848;0.0192674
Ejecución 849;0.0192376
Ejecución 850;0.0192983
Ejecución 851;0.0191793
Ejecución 852;0.0193405
Ejecución 853;0.0192150
Ejecución 854;0.0191865
Ejecución 855;0.0192122
Ejecución 856;0.0191856
Ejecución 857;0.0193617
Ejecución 858;0.0194237
Ejecución 859;0.0193129
Ejecución 860;0.0192578
Ejecución 861;0.0192888
Ejecución 862;0.0193003
Ejecución 863;0.0192168
Ejecución 864;0.0192548
Ejecución 865;0.0193165
Ejecución 866;0.0192315
Ejecución 867;0.0192760
Ejecución 868;0.0194769
Ejecución 869;0.0187392
Ejecución 870;0.0201130
Ejecución 871;0.0207018
Ejecución 872;0.0207495
Ejecución 873;0.0210788
Ejecución 874;0.0211235
Ejecución 875;0.0212047
Ejecución 876;0.0212305
Ejecución 877;0.0214866
Ejecución 878;0.0214445
Ejecución 879;0.0213838
Ejecución 880;0.0214233
Ejecución 881;0.0215219
Ejecución 882;0.0215210
Ejecución 883;0.0215549
Ejecución 884;0.0220094
Ejecución 885;0.0216932
Ejecución 886;0.0216391
Ejecución 887;0.0217019
Ejecución 888;0.0216176
Ejecución 889;0.0216437
Ejecución 890;0.0216421
Ejecución 891;0.0215785
Ejecución 892;0.0217242
Ejecución 893;0.0217728
Ejecución 894;0.0215496
Ejecución 895;0.0217121
Ejecución 896;0.0217482
Ejecución 897;0.0215991
Ejecución 898;0.0216627
Ejecución 899;0.0216109
Ejecución 900;0.0216082
Ejecución 901;0.0217294
Ejecución 902;0.0215803
Ejecución 903;0.0215573
Ejecución 904;0.0216458
Ejecución 905;0.0217155
Ejecución 906;0.0216549
Ejecución 907;0.0215679
Ejecución 908;0.0217877
Ejecución 909;0.0217784
Ejecución 910;0.0216240
Ejecución 911;0.0217153
Ejecución 912;0.0218165
Ejecución 913;0.0216834
Ejecución 914;0.0215942
Ejecución 915;0.0215398
Ejecución 916;0.0216188
Ejecución 917;0.0215273
Ejecución 918;0.0215755
Ejecución 919;0.0216650
Ejecución 920;0.0216173
Ejecución 921;0.0216683
Ejecución 922;0.0215944
Ejecución 923;0.0217272
Ejecución 924;0.0216963
Ejecución 925;0.0214635
Ejecución 926;0.0216370
Ejecución 927;0.0215976
Ejecución 928;0.0216575
Ejecución 929;0.0215716
Ejecución 930;0.0217326
Ejecución 931;0.0216030
Ejecución 932;0.0216371
Ejecución 933;0.0216535
Ejecución 934;0.0215931
Ejecución 935;0.0216645
Ejecución 936;0.0215667
Ejecución 937;0.0217356
Ejecución 938;0.0217160
Ejecución 939;0.0215541
Ejecución 940;0.0215852
Ejecución 941;0.0217265
Ejecución 942;0.0215875
Ejecución 943;0.0217712
Ejecución 944;0.0215438
Ejecución 945;0.0215596
Ejecución 946;0.0216298
Ejecución 947;0.0215964
Ejecución 948;0.0216394
Ejecución 949;0.0215575
Ejecución 950;0.0217151
Ejecución 951;0.0215537
Ejecución 952;0.0216785
Ejecución 953;0.0216518
Ejecución 954;0.0215851
Ejecución 955;0.0216259
Ejecución 956;0.0217639
Ejecución 957;0.0216393
Ejecución 958;0.0215784
Ejecución 959;0.0217466
Ejecución 960;0.0218009
Ejecución 961;0.0215880
Ejecución 962;0.0215841
Ejecución 963;0.0215786
Ejecución 964;0.0216581
Ejecución 965;0.0215293
Ejecución 966;0.0215023
Ejecución 967;0.0216988
Ejecución 968;0.0215723
Ejecución 969;0.0218262
Ejecución 970;0.0215575
Ejecución 971;0.0216216
Ejecución 972;0.0216297
Ejecución 973;0.0215923
