Algoritmo;Merge_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.0619838s
Tiempo promedio;0.0010620s
Tiempos individuales (s):
Ejecución 585;0.0010157
Ejecución 586;0.0012402
Ejecución 587;0.0010468
Ejecución 588;0.0010151
Ejecución 589;0.0010091
Ejecución 590;0.0010003
Ejecución 591;0.0010068
Ejecución 592;0.0010023
Ejecución 593;0.0010075
Ejecución 594;0.0010309
Ejecución 595;0.0010105
Ejecución 596;0.0010116
Ejecución 597;0.0010035
Ejecución 598;0.0010936
Ejecución 599;0.0010108
Ejecución 600;0.0010095
Ejecución 601;0.0010305
Ejecución 602;0.0010282
Ejecución 603;0.0010136
Ejecución 604;0.0009954
Ejecución 605;0.0010088
Ejecución 606;0.0009986
Ejecución 607;0.0010215
Ejecución 608;0.0009924
Ejecución 609;0.0010024
Ejecución 610;0.0010019
Ejecución 611;0.0010421
Ejecución 612;0.0010131
Ejecución 613;0.0010150
Ejecución 614;0.0010243
Ejecución 615;0.0010321
Ejecución 616;0.0010303
Ejecución 617;0.0010352
Ejecución 618;0.0010499
Ejecución 619;0.0010261
Ejecución 620;0.0010171
Ejecución 621;0.0010289
Ejecución 622;0.0010347
Ejecución 623;0.0010718
Ejecución 624;0.0011389
Ejecución 625;0.0010458
Ejecución 626;0.0010668
Ejecución 627;0.0010803
Ejecución 628;0.0010660
Ejecución 629;0.0010891
Ejecución 630;0.0010282
Ejecución 631;0.0010254
Ejecución 632;0.0010530
Ejecución 633;0.0010531
Ejecución 634;0.0010435
Ejecución 635;0.0010912
Ejecución 636;0.0010688
Ejecución 637;0.0010621
Ejecución 638;0.0010524
Ejecución 639;0.0010617
Ejecución 640;0.0010479
Ejecución 641;0.0010443
Ejecución 642;0.0011662
Ejecución 643;0.0010669
Ejecución 644;0.0010741
Ejecución 645;0.0010555
Ejecución 646;0.0010609
Ejecución 647;0.0011007
Ejecución 648;0.0012480
Ejecución 649;0.0011423
Ejecución 650;0.0011031
Ejecución 651;0.0010928
Ejecución 652;0.0010860
Ejecución 653;0.0010519
Ejecución 654;0.0010587
Ejecución 655;0.0010426
Ejecución 656;0.0010637
Ejecución 657;0.0011068
Ejecución 658;0.0010673
Ejecución 659;0.0010724
Ejecución 660;0.0010752
Ejecución 661;0.0010497
Ejecución 662;0.0010809
Ejecución 663;0.0010802
Ejecución 664;0.0010794
Ejecución 665;0.0010785
Ejecución 666;0.0010620
Ejecución 667;0.0010808
Ejecución 668;0.0010975
Ejecución 669;0.0010777
Ejecución 670;0.0010696
Ejecución 671;0.0010973
Ejecución 672;0.0011636
Ejecución 673;0.0011380
Ejecución 674;0.0011526
Ejecución 675;0.0011515
Ejecución 676;0.0011488
Ejecución 677;0.0011430
Ejecución 678;0.0010835
Ejecución 679;0.0011498
Ejecución 680;0.0011667
Ejecución 681;0.0011426
Ejecución 682;0.0011489
Ejecución 683;0.0011641
Ejecución 684;0.0010507
Ejecución 685;0.0010518
Ejecución 686;0.0010383
Ejecución 687;0.0010908
Ejecución 688;0.0010295
Ejecución 689;0.0010399
Ejecución 690;0.0010700
Ejecución 691;0.0010621
Ejecución 692;0.0010436
Ejecución 693;0.0010481
Ejecución 694;0.0010862
Ejecución 695;0.0011100
Ejecución 696;0.0010964
Ejecución 697;0.0010649
Ejecución 698;0.0010755
Ejecución 699;0.0010753
Ejecución 700;0.0010709
Ejecución 701;0.0010727
Ejecución 702;0.0010746
Ejecución 703;0.0011040
Ejecución 704;0.0010586
Ejecución 705;0.0011152
