Algoritmo;Heap_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.6601440s
Tiempo promedio;0.0016601s
Tiempos individuales (s):
Ejecución 593;0.0010028
Ejecución 594;0.0009994
Ejecución 595;0.0020028
Ejecución 596;0.0019998
Ejecución 597;0.0020016
Ejecución 598;0.0019949
Ejecución 599;0.0019985
Ejecución 600;0.0014551
Ejecución 601;0.0021040
Ejecución 602;0.0019947
Ejecución 603;0.0019936
Ejecución 604;0.0010010
Ejecución 605;0.0014569
Ejecución 606;0.0020882
Ejecución 607;0.0020081
Ejecución 608;0.0009335
Ejecución 609;0.0009925
Ejecución 610;0.0009912
Ejecución 611;0.0024929
Ejecución 612;0.0019894
Ejecución 613;0.0010014
Ejecución 614;0.0009932
Ejecución 615;0.0019998
Ejecución 616;0.0023414
Ejecución 617;0.0016085
Ejecución 618;0.0021108
Ejecución 619;0.0009800
Ejecución 620;0.0009945
Ejecución 621;0.0014166
Ejecución 622;0.0021042
Ejecución 623;0.0009837
Ejecución 624;0.0009942
Ejecución 625;0.0009931
Ejecución 626;0.0024262
Ejecución 627;0.0016857
Ejecución 628;0.0021076
Ejecución 629;0.0009969
Ejecución 630;0.0009917
Ejecución 631;0.0020057
Ejecución 632;0.0024932
Ejecución 633;0.0010844
Ejecución 634;0.0009970
Ejecución 635;0.0019942
Ejecución 636;0.0020008
Ejecución 637;0.0020031
Ejecución 638;0.0010845
Ejecución 639;0.0019990
Ejecución 640;0.0020005
Ejecución 641;0.0019996
Ejecución 642;0.0020112
Ejecución 643;0.0015407
Ejecución 644;0.0020034
Ejecución 645;0.0019854
Ejecución 646;0.0020099
Ejecución 647;0.0019955
Ejecución 648;0.0014194
Ejecución 649;0.0020915
Ejecución 650;0.0020045
Ejecución 651;0.0017011
Ejecución 652;0.0020000
Ejecución 653;0.0019933
Ejecución 654;0.0015261
Ejecución 655;0.0020135
Ejecución 656;0.0020016
Ejecución 657;0.0020125
Ejecución 658;0.0009724
Ejecución 659;0.0015526
Ejecución 660;0.0019991
Ejecución 661;0.0020044
Ejecución 662;0.0009951
Ejecución 663;0.0009873
Ejecución 664;0.0014713
Ejecución 665;0.0020038
Ejecución 666;0.0009896
Ejecución 667;0.0009868
Ejecución 668;0.0009865
Ejecución 669;0.0024225
Ejecución 670;0.0020909
Ejecución 671;0.0010051
Ejecución 672;0.0009737
Ejecución 673;0.0020059
Ejecución 674;0.0020073
Ejecución 675;0.0017118
Ejecución 676;0.0010922
Ejecución 677;0.0010053
Ejecución 678;0.0009906
Ejecución 679;0.0019992
Ejecución 680;0.0009662
Ejecución 681;0.0031706
Ejecución 682;0.0010013
Ejecución 683;0.0010087
Ejecución 684;0.0009858
Ejecución 685;0.0025074
Ejecución 686;0.0010887
Ejecución 687;0.0019977
Ejecución 688;0.0020100
Ejecución 689;0.0020088
Ejecución 690;0.0019966
Ejecución 691;0.0015697
Ejecución 692;0.0020281
Ejecución 693;0.0019781
Ejecución 694;0.0019999
Ejecución 695;0.0020030
Ejecución 696;0.0014547
Ejecución 697;0.0020908
Ejecución 698;0.0020079
Ejecución 699;0.0019909
Ejecución 700;0.0020119
Ejecución 701;0.0017027
Ejecución 702;0.0015179
Ejecución 703;0.0020265
Ejecución 704;0.0019877
Ejecución 705;0.0019913
