Algoritmo;Quick_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.0220329s
Tiempo promedio;0.0010220s
Tiempos individuales (s):
Ejecución 725;0.0010459
Ejecución 726;0.0010028
Ejecución 727;0.0010955
Ejecución 728;0.0009149
Ejecución 729;0.0009977
Ejecución 730;0.0009981
Ejecución 731;0.0009947
Ejecución 732;0.0010112
Ejecución 733;0.0010410
Ejecución 734;0.0010011
Ejecución 735;0.0009941
Ejecución 736;0.0010931
Ejecución 737;0.0009068
Ejecución 738;0.0010077
Ejecución 739;0.0009994
Ejecución 740;0.0010367
Ejecución 741;0.0010074
Ejecución 742;0.0009923
Ejecución 743;0.0010010
Ejecución 744;0.0010487
Ejecución 745;0.0015126
Ejecución 746;0.0009231
Ejecución 747;0.0009983
Ejecución 748;0.0010461
Ejecución 749;0.0009968
Ejecución 750;0.0009937
Ejecución 751;0.0010031
Ejecución 752;0.0015151
Ejecución 753;0.0010124
Ejecución 754;0.0010973
Ejecución 755;0.0010448
Ejecución 756;0.0009912
Ejecución 757;0.0009689
Ejecución 758;0.0009978
Ejecución 759;0.0010007
Ejecución 760;0.0009999
Ejecución 761;0.0010025
Ejecución 762;0.0012622
Ejecución 763;0.0010018
Ejecución 764;0.0009986
Ejecución 765;0.0010001
Ejecución 766;0.0009996
Ejecución 767;0.0009999
Ejecución 768;0.0010007
Ejecución 769;0.0009994
Ejecución 770;0.0003302
Ejecución 771;0.0010107
Ejecución 772;0.0009992
Ejecución 773;0.0010002
Ejecución 774;0.0010000
Ejecución 775;0.0010002
Ejecución 776;0.0009999
Ejecución 777;0.0010002
Ejecución 778;0.0009998
Ejecución 779;0.0010004
Ejecución 780;0.0010102
Ejecución 781;0.0010007
Ejecución 782;0.0010001
Ejecución 783;0.0009999
Ejecución 784;0.0009999
Ejecución 785;0.0010006
Ejecución 786;0.0009994
Ejecución 787;0.0010019
Ejecución 788;0.0010005
Ejecución 789;0.0013652
Ejecución 790;0.0010109
Ejecución 791;0.0009992
Ejecución 792;0.0010011
Ejecución 793;0.0009991
Ejecución 794;0.0010003
Ejecución 795;0.0005166
Ejecución 796;0.0010155
Ejecución 797;0.0009999
Ejecución 798;0.0009999
Ejecución 799;0.0010001
Ejecución 800;0.0013428
Ejecución 801;0.0010110
Ejecución 802;0.0010000
Ejecución 803;0.0009997
Ejecución 804;0.0009999
Ejecución 805;0.0010002
Ejecución 806;0.0009998
Ejecución 807;0.0010003
Ejecución 808;0.0010002
