Algoritmo;Quick_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Lucas
Tiempo total;2.2558706s
Tiempo promedio;0.0022559s
Tiempos individuales (s):
Ejecución 602;0.0014393
Ejecución 603;0.0010172
Ejecución 604;0.0021021
Ejecución 605;0.0020859
Ejecución 606;0.0024505
Ejecución 607;0.0016986
Ejecución 608;0.0020988
Ejecución 609;0.0019931
Ejecución 610;0.0025298
Ejecución 611;0.0019053
Ejecución 612;0.0044757
Ejecución 613;0.0040198
Ejecución 614;0.0029887
Ejecución 615;0.0021299
Ejecución 616;0.0030032
Ejecución 617;0.0020335
Ejecución 618;0.0013754
Ejecución 619;0.0019881
Ejecución 620;0.0020915
Ejecución 621;0.0020079
Ejecución 622;0.0025215
Ejecución 623;0.0020005
Ejecución 624;0.0015924
Ejecución 625;0.0019845
Ejecución 626;0.0022867
Ejecución 627;0.0020073
Ejecución 628;0.0020224
Ejecución 629;0.0024196
Ejecución 630;0.0020896
Ejecución 631;0.0020015
Ejecución 632;0.0020214
Ejecución 633;0.0015474
Ejecución 634;0.0020042
Ejecución 635;0.0030002
Ejecución 636;0.0020815
Ejecución 637;0.0015150
Ejecución 638;0.0020077
Ejecución 639;0.0020531
Ejecución 640;0.0024450
Ejecución 641;0.0027025
Ejecución 642;0.0031290
Ejecución 643;0.0019832
Ejecución 644;0.0024299
Ejecución 645;0.0021036
Ejecución 646;0.0020935
Ejecución 647;0.0019951
Ejecución 648;0.0025134
Ejecución 649;0.0019981
Ejecución 650;0.0019993
Ejecución 651;0.0020949
Ejecución 652;0.0019997
Ejecución 653;0.0020986
Ejecución 654;0.0019943
Ejecución 655;0.0024464
Ejecución 656;0.0020989
Ejecución 657;0.0019942
Ejecución 658;0.0030047
Ejecución 659;0.0020169
Ejecución 660;0.0019920
Ejecución 661;0.0030011
Ejecución 662;0.0019938
Ejecución 663;0.0014594
Ejecución 664;0.0020004
Ejecución 665;0.0020105
Ejecución 666;0.0023356
Ejecución 667;0.0019974
Ejecución 668;0.0019999
Ejecución 669;0.0020900
Ejecución 670;0.0019935
Ejecución 671;0.0019942
Ejecución 672;0.0030121
Ejecución 673;0.0019918
Ejecución 674;0.0019970
Ejecución 675;0.0019580
Ejecución 676;0.0021015
Ejecución 677;0.0024482
Ejecución 678;0.0020970
Ejecución 679;0.0026278
Ejecución 680;0.0030068
Ejecución 681;0.0024484
Ejecución 682;0.0020915
Ejecución 683;0.0020003
Ejecución 684;0.0030114
Ejecución 685;0.0025250
Ejecución 686;0.0029946
Ejecución 687;0.0019081
Ejecución 688;0.0020021
Ejecución 689;0.0020956
Ejecución 690;0.0020875
Ejecución 691;0.0019968
Ejecución 692;0.0024445
Ejecución 693;0.0026922
Ejecución 694;0.0020987
Ejecución 695;0.0019899
Ejecución 696;0.0024594
Ejecución 697;0.0020963
Ejecución 698;0.0020004
Ejecución 699;0.0019793
Ejecución 700;0.0014397
Ejecución 701;0.0019912
Ejecución 702;0.0020562
Ejecución 703;0.0029890
Ejecución 704;0.0020937
Ejecución 705;0.0019988
Ejecución 706;0.0019921
Ejecución 707;0.0015494
Ejecución 708;0.0020057
Ejecución 709;0.0029932
Ejecución 710;0.0020005
Ejecución 711;0.0014456
Ejecución 712;0.0019973
Ejecución 713;0.0020595
Ejecución 714;0.0020029
Ejecución 715;0.0025781
Ejecución 716;0.0027245
Ejecución 717;0.0019826
Ejecución 718;0.0023678
Ejecución 719;0.0020901
Ejecución 720;0.0019930
Ejecución 721;0.0029961
Ejecución 722;0.0025537
Ejecución 723;0.0019972
Ejecución 724;0.0019848
Ejecución 725;0.0020065
Ejecución 726;0.0023599
Ejecución 727;0.0019880
Ejecución 728;0.0030131
Ejecución 729;0.0024139
Ejecución 730;0.0020949
Ejecución 731;0.0020101
Ejecución 732;0.0020329
Ejecución 733;0.0024250
Ejecución 734;0.0020982
Ejecución 735;0.0019999
Ejecución 736;0.0019936
Ejecución 737;0.0015665
Ejecución 738;0.0019979
Ejecución 739;0.0021021
Ejecución 740;0.0019791
Ejecución 741;0.0025245
Ejecución 742;0.0019870
Ejecución 743;0.0019935
Ejecución 744;0.0015278
Ejecución 745;0.0020381
Ejecución 746;0.0019964
Ejecución 747;0.0019951
Ejecución 748;0.0014488
Ejecución 749;0.0020052
Ejecución 750;0.0020983
Ejecución 751;0.0025846
Ejecución 752;0.0025121
Ejecución 753;0.0015989
Ejecución 754;0.0020902
Ejecución 755;0.0030008
Ejecución 756;0.0020916
Ejecución 757;0.0020144
Ejecución 758;0.0019935
Ejecución 759;0.0024157
Ejecución 760;0.0019996
Ejecución 761;0.0019957
Ejecución 762;0.0019983
Ejecución 763;0.0020982
Ejecución 764;0.0020952
Ejecución 765;0.0020003
Ejecución 766;0.0024555
Ejecución 767;0.0020991
Ejecución 768;0.0019899
Ejecución 769;0.0026290
Ejecución 770;0.0015036
Ejecución 771;0.0019885
Ejecución 772;0.0030007
Ejecución 773;0.0019968
Ejecución 774;0.0015973
Ejecución 775;0.0020111
Ejecución 776;0.0020905
Ejecución 777;0.0030095
Ejecución 778;0.0021013
Ejecución 779;0.0029873
Ejecución 780;0.0020062
Ejecución 781;0.0014662
Ejecución 782;0.0020019
Ejecución 783;0.0029952
Ejecución 784;0.0020088
Ejecución 785;0.0014680
Ejecución 786;0.0015981
Ejecución 787;0.0019987
Ejecución 788;0.0020351
Ejecución 789;0.0023071
Ejecución 790;0.0015999
Ejecución 791;0.0020109
Ejecución 792;0.0024050
Ejecución 793;0.0020974
Ejecución 794;0.0020041
Ejecución 795;0.0020013
Ejecución 796;0.0014878
Ejecución 797;0.0019974
Ejecución 798;0.0020864
Ejecución 799;0.0019936
Ejecución 800;0.0023958
Ejecución 801;0.0019935
Ejecución 802;0.0019791
Ejecución 803;0.0024481
Ejecución 804;0.0021227
Ejecución 805;0.0019953
