Algoritmo;Bucket_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Vale
Tiempo total;1.70921s
Tiempo promedio;0.00170921s
Tiempos individuales (s):
Ejecución 540;0.0019994
Ejecución 541;0.0020004
Ejecución 542;0.0020024
Ejecución 543;0.0019993
Ejecución 544;0.002
Ejecución 545;0.0010421
Ejecución 546;0.001997
Ejecución 547;0.0019995
Ejecución 548;0.0020002
Ejecución 549;0.0020017
Ejecución 550;0.0020055
Ejecución 551;0.0019948
Ejecución 552;0.0019999
Ejecución 553;0.001992
Ejecución 554;0.0020062
Ejecución 555;0.0020002
Ejecución 556;0.0020002
Ejecución 557;0.0020014
Ejecución 558;0.0019988
Ejecución 559;0.0020026
Ejecución 560;0.0010461
Ejecución 561;0.001005
Ejecución 562;0.0009961
Ejecución 563;0.0009952
Ejecución 564;0.0009971
Ejecución 565;0.0019979
Ejecución 566;0.0019947
Ejecución 567;0.0020011
Ejecución 568;0.0019996
Ejecución 569;0.0020003
Ejecución 570;0.0020018
Ejecución 571;0.0019984
Ejecución 572;0.0019996
Ejecución 573;0.002001
Ejecución 574;0.0019999
Ejecución 575;0.0020013
Ejecución 576;0.0020001
Ejecución 577;0.0009996
Ejecución 578;0.0009887
Ejecución 579;0.001006
Ejecución 580;0.0009991
Ejecución 581;0.0010086
Ejecución 582;0.002
Ejecución 583;0.0020007
Ejecución 584;0.0020006
Ejecución 585;0.0019999
Ejecución 586;0.0020003
Ejecución 587;0.0020002
Ejecución 588;0.0020012
Ejecución 589;0.000991
Ejecución 590;0.0009896
Ejecución 591;0.0009971
Ejecución 592;0.0009996
Ejecución 593;0.0009997
Ejecución 594;0.0020038
Ejecución 595;0.0019971
Ejecución 596;0.0020002
Ejecución 597;0.0020003
Ejecución 598;0.0020002
Ejecución 599;0.0020004
Ejecución 600;0.0020099
Ejecución 601;0.0019579
Ejecución 602;0.0010337
Ejecución 603;0.0019989
Ejecución 604;0.0019948
Ejecución 605;0.0020003
Ejecución 606;0.0020004
Ejecución 607;0.0020007
Ejecución 608;0.0020026
Ejecución 609;0.0019991
Ejecución 610;0.002
Ejecución 611;0.0020013
Ejecución 612;0.0020001
Ejecución 613;0.0010026
Ejecución 614;0.0020004
Ejecución 615;0.0020014
Ejecución 616;0.0019981
Ejecución 617;0.002004
Ejecución 618;0.0020027
Ejecución 619;0.0019981
Ejecución 620;0.0020034
Ejecución 621;0.0009969
Ejecución 622;0.0020388
Ejecución 623;0.0019974
Ejecución 624;0.0019983
Ejecución 625;0.0020027
Ejecución 626;0.0009957
Ejecución 627;0.0019997
Ejecución 628;0.0020008
Ejecución 629;0.0019998
Ejecución 630;0.0020015
Ejecución 631;0.0020021
Ejecución 632;0.0009994
Ejecución 633;0.0009995
Ejecución 634;0.001996
Ejecución 635;0.0020011
Ejecución 636;0.0019621
Ejecución 637;0.0020383
Ejecución 638;0.0020029
Ejecución 639;0.0010037
Ejecución 640;0.0009977
Ejecución 641;0.0009971
Ejecución 642;0.0019984
Ejecución 643;0.0019984
Ejecución 644;0.0020007
Ejecución 645;0.0020033
Ejecución 646;0.0019972
Ejecución 647;0.0020036
Ejecución 648;0.0019945
Ejecución 649;0.0010027
Ejecución 650;0.0009977
Ejecución 651;0.0020013
Ejecución 652;0.0020094
Ejecución 653;0.0019991
Ejecución 654;0.0020002
Ejecución 655;0.0020004
Ejecución 656;0.0019999
Ejecución 657;0.0020007
Ejecución 658;0.0009909
Ejecución 659;0.0009932
Ejecución 660;0.0010365
Ejecución 661;0.0010013
Ejecución 662;0.001012
Ejecución 663;0.0019965
Ejecución 664;0.0020003
Ejecución 665;0.0020047
Ejecución 666;0.001996
Ejecución 667;0.002
Ejecución 668;0.0020007
Ejecución 669;0.0020007
Ejecución 670;0.0009913
Ejecución 671;0.0009789
Ejecución 672;0.0009991
Ejecución 673;0.001002
Ejecución 674;0.0010122
Ejecución 675;0.0019973
Ejecución 676;0.0009933
Ejecución 677;0.0009982
Ejecución 678;0.0010001
Ejecución 679;0.001006
Ejecución 680;0.0010021
Ejecución 681;0.0009995
Ejecución 682;0.0010003
Ejecución 683;0.0009964
Ejecución 684;0.0020102
Ejecución 685;0.0019997
Ejecución 686;0.0020005
Ejecución 687;0.0020009
Ejecución 688;0.0020015
Ejecución 689;0.0019992
Ejecución 690;0.0020008
Ejecución 691;0.0019985
Ejecución 692;0.0019998
Ejecución 693;0.0020004
Ejecución 694;0.0020028
Ejecución 695;0.0019995
Ejecución 696;0.0009899
Ejecución 697;0.0009918
Ejecución 698;0.001
Ejecución 699;0.0010007
Ejecución 700;0.0010053
Ejecución 701;0.0020041
Ejecución 702;0.002001
Ejecución 703;0.0019989
Ejecución 704;0.002
Ejecución 705;0.0020002
Ejecución 706;0.0020024
