Algoritmo;insertion_sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Vale
Tiempo total;26.993s
Tiempo promedio;0.026993s
Tiempos individuales (s):
Ejecución 933;0.0263654
Ejecución 934;0.0263387
Ejecución 935;0.026894
Ejecución 936;0.0292499
Ejecución 937;0.028986
Ejecución 938;0.0265122
Ejecución 939;0.0263189
Ejecución 940;0.026283
Ejecución 941;0.026245
Ejecución 942;0.0266303
Ejecución 943;0.0262926
Ejecución 944;0.0262404
Ejecución 945;0.0262821
Ejecución 946;0.0266932
Ejecución 947;0.0262803
Ejecución 948;0.026244
Ejecución 949;0.0263262
Ejecución 950;0.0262503
Ejecución 951;0.0262572
Ejecución 952;0.0262931
Ejecución 953;0.0266495
Ejecución 954;0.0262644
Ejecución 955;0.0262937
Ejecución 956;0.0299475
Ejecución 957;0.0270556
Ejecución 958;0.0264031
Ejecución 959;0.0266884
Ejecución 960;0.02665
Ejecución 961;0.0270142
Ejecución 962;0.0264123
Ejecución 963;0.0267083
Ejecución 964;0.026356
Ejecución 965;0.0267116
Ejecución 966;0.0264065
Ejecución 967;0.0265076
Ejecución 968;0.0267093
Ejecución 969;0.0274712
Ejecución 970;0.0270668
Ejecución 971;0.0263644
Ejecución 972;0.0263639
Ejecución 973;0.0267924
Ejecución 974;0.0298647
Ejecución 975;0.0269571
Ejecución 976;0.0263873
Ejecución 977;0.0263925
Ejecución 978;0.0263842
Ejecución 979;0.0263866
Ejecución 980;0.0263927
Ejecución 981;0.0263522
Ejecución 982;0.0264214
